anatomical_site_index	anatomical_site_label	cluster_index	character_index	character_label	ref	var	var_read_prob	site_category
4	Locoregional skin metastasis 3, left heel	0	69	ZNF829	738	0	0.445	metastasis
0	Primary, left heel	2	70	CCDC24	111	53	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	70	CCDC24	118	87	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	70	CCDC24	96	95	0.45	metastasis
3	Lymph node metastasis, left groin	2	70	CCDC24	88	54	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	70	CCDC24	89	82	0.445	metastasis
0	Primary, left heel	2	71	UBE2O	160	67	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	71	UBE2O	148	111	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	71	UBE2O	179	139	0.45	metastasis
3	Lymph node metastasis, left groin	2	71	UBE2O	146	117	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	71	UBE2O	108	76	0.445	metastasis
0	Primary, left heel	6	72	RFPL3	20	4	0.4	primary
1	Locoregional skin metastasis 1, left heel	6	72	RFPL3	38	0	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	6	72	RFPL3	27	1	0.45	metastasis
3	Lymph node metastasis, left groin	6	72	RFPL3	27	1	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	6	72	RFPL3	24	7	0.445	metastasis
0	Primary, left heel	2	73	FSIP2	58	43	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	73	FSIP2	61	66	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	73	FSIP2	75	66	0.45	metastasis
3	Lymph node metastasis, left groin	2	73	FSIP2	59	53	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	73	FSIP2	58	49	0.445	metastasis
0	Primary, left heel	4	74	TCRBV20S1	307	0	0.4	primary
1	Locoregional skin metastasis 1, left heel	4	74	TCRBV20S1	354	0	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	4	74	TCRBV20S1	378	0	0.45	metastasis
3	Lymph node metastasis, left groin	4	74	TCRBV20S1	297	43	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	4	74	TCRBV20S1	315	0	0.445	metastasis
0	Primary, left heel	0	75	MLL4	56	0	0.4	primary
1	Locoregional skin metastasis 1, left heel	0	75	MLL4	88	1	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	0	75	MLL4	66	30	0.45	metastasis
3	Lymph node metastasis, left groin	0	75	MLL4	91	0	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	0	75	MLL4	82	0	0.445	metastasis
0	Primary, left heel	2	76	FZD1	16	14	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	76	FZD1	17	20	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	76	FZD1	27	16	0.45	metastasis
3	Lymph node metastasis, left groin	2	76	FZD1	21	11	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	76	FZD1	20	17	0.445	metastasis
0	Primary, left heel	7	77	PHKG2	21	0	0.4	primary
1	Locoregional skin metastasis 1, left heel	7	77	PHKG2	26	47	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	7	77	PHKG2	24	0	0.45	metastasis
3	Lymph node metastasis, left groin	7	77	PHKG2	20	0	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	7	77	PHKG2	26	35	0.445	metastasis
0	Primary, left heel	1	78	TMIGD2	19	4	0.4	primary
1	Locoregional skin metastasis 1, left heel	1	78	TMIGD2	28	0	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	1	78	TMIGD2	25	0	0.45	metastasis
3	Lymph node metastasis, left groin	1	78	TMIGD2	21	0	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	1	78	TMIGD2	24	0	0.445	metastasis
0	Primary, left heel	2	79	TCERG1	18	11	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	79	TCERG1	31	29	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	79	TCERG1	25	20	0.45	metastasis
3	Lymph node metastasis, left groin	2	79	TCERG1	16	15	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	79	TCERG1	28	16	0.445	metastasis
0	Primary, left heel	4	80	SCRN1	295	0	0.4	primary
1	Locoregional skin metastasis 1, left heel	4	80	SCRN1	373	0	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	4	80	SCRN1	436	0	0.45	metastasis
3	Lymph node metastasis, left groin	4	80	SCRN1	258	58	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	4	80	SCRN1	327	0	0.445	metastasis
0	Primary, left heel	2	81	MRPL28	95	73	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	81	MRPL28	131	98	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	81	MRPL28	131	96	0.45	metastasis
3	Lymph node metastasis, left groin	2	81	MRPL28	108	98	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	81	MRPL28	102	73	0.445	metastasis
