Patient	Sample	final.purity	final.ploidy
CRUK0596	CRUK0596_SU_T1.R7	0.53	2.9
CRUK0596	CRUK0596_SU_T1.R2	0.56	2.75
CRUK0596	CRUK0596_SU_T1.R4	0.67	2.4
CRUK0596	CRUK0596_SU_T1.R3	0.86	2.4
CRUK0596	CRUK0596_SU_FLN2	0.35	2.8
CRUK0587	CRUK0587_SU_T1.R1	0.64	2
CRUK0587	CRUK0587_SU_FLN1	0.21	1.85
CRUK0587	CRUK0587_SU_T1.R3	0.44	2.1
CRUK0587	CRUK0587_SU_T1.R2	0.46	1.9
CRUK0587	CRUK0587_BR_T1.FR1	0.3	1.85
CRUK0589	CRUK0589_SU_T1.R1	0.54	3.3
CRUK0589	CRUK0589_SU_T1.R2	0.77	3
CRUK0589	CRUK0589_SU_T1.R6	0.73	3.3
CRUK0589	CRUK0589_SU_T1.R3	0.63	3.2
CRUK0589	CRUK0589_SU_FLN1	0.58	3.25
CRUK0589	CRUK0589_SU_T1.R8	0.66	3.25
CRUK0589	CRUK0589_SU_T1.R7	0.76	3.15
CRUK0543	CRUK0543_SU_T1.R1	0.78	2
CRUK0543	CRUK0543_SU_FLN3	0.64	1.95
CRUK0543	CRUK0543_SU_T1.R2	0.84	2.05
CRUK0543	CRUK0543_SU_FLN1	0.76	2.1
CRUK0543	CRUK0543_SU_T1.R4	0.89	2.05
CRUK0543	CRUK0543_SU_FLN5	0.32	2.25
CRUK0543	CRUK0543_SU_T1.R7	0.93	2.05
CRUK0543	CRUK0543_SU_T1.R3	0.82	2
CRUK0543	CRUK0543_SU_T1.R5	0.84	2.05
CRUK0543	CRUK0543_SU_T1.R6	0.87	2.05
CRUK0524	CRUK0524_SU_T1.R1	0.45	3.2
CRUK0524	CRUK0524_SU_T1.R6	0.17	3.6
CRUK0524	CRUK0524_SU_T1.R4	0.54	3.45
CRUK0524	CRUK0524_SU_T1.R5	0.14	3.35
CRUK0524	CRUK0524_SU_FLN1	0.27	3.45
CRUK0567	CRUK0567_SU_T1.R1	0.72	3.4
CRUK0567	CRUK0567_SU_T1.R4	0.49	3.15
CRUK0567	CRUK0567_SU_T1.R2	0.75	3.4
CRUK0567	CRUK0567_SU_T1.R3	0.77	3.4
CRUK0567	CRUK0567_SU_FLN1	0.24	2.4
CRUK0552	CRUK0552_SU_T1.R1	0.33	1.95
CRUK0552	CRUK0552_SU_T1.R3	0.37	2
CRUK0552	CRUK0552_SU_T1.R2	0.46	1.9
CRUK0552	CRUK0552_BR_LN1	0.29	3.65
CRUK0620	CRUK0620_SU_T2.R1	0.83	2.9
CRUK0620	CRUK0620_SU_FLN2	0.6	2.4
CRUK0620	CRUK0620_SU_T1.R5	0.57	2.5
CRUK0620	CRUK0620_SU_T2.R4	0.61	2.8
CRUK0620	CRUK0620_SU_LN1	0.72	2.4
CRUK0620	CRUK0620_SU_FLN3	0.53	2.5
CRUK0620	CRUK0620_SU_T2.R3	0.65	2.9
CRUK0620	CRUK0620_SU_T2.R2	0.69	2.9
CRUK0667	CRUK0667_SU_T1.R6	0.46	2.65
CRUK0667	CRUK0667_SU_T1.R5	0.47	2.75
CRUK0667	CRUK0667_SU_T1.R2	0.62	2.65
CRUK0667	CRUK0667_SU_T1.R7	0.47	2.7
CRUK0667	CRUK0667_SU_T1.R4	0.34	2.75
CRUK0667	CRUK0667_SU_T1.R3	0.45	2.65
CRUK0667	CRUK0667_SU_T1.R1	0.34	2.65
CRUK0667	CRUK0667_SU_T1.R8	0.46	2.7
CRUK0667	CRUK0667_SU_FLN1	0.31	2.65
CRUK0666	CRUK0666_SU_T1.R6	0.14	3.55
CRUK0666	CRUK0666_SU_T1.R2	0.18	3.3
CRUK0666	CRUK0666_SU_FLN1	0.09	3.1
CRUK0666	CRUK0666_SU_T1.R5	0.28	3.55
CRUK0666	CRUK0666_SU_T1.R3	0.25	3.05
CRUK0666	CRUK0666_SU_T1.R1	0.29	3.4
CRUK0666	CRUK0666_SU_T1.R4	0.29	3.2
CRUK0625	CRUK0625_SU_T1.R1	0.31	4
CRUK0625	CRUK0625_SU_T1.R3	0.68	3.95
CRUK0625	CRUK0625_SU_FLN1	0.22	2.7
CRUK0625	CRUK0625_SU_T1.R2	0.53	3.75
CRUK0691	CRUK0691_SU_T1.R1	0.18	3.25
CRUK0691	CRUK0691_SU_T1.R4	0.28	3.1
CRUK0691	CRUK0691_SU_T1.R2	0.33	2.85
CRUK0691	CRUK0691_SU_T1.R3	0.41	2.9
CRUK0691	CRUK0691_SU_FLN1	0.27	3.25
CRUK0693	CRUK0693_SU_T1.R2	0.82	2.6
CRUK0693	CRUK0693_SU_T1.R1	0.81	2.5
CRUK0693	CRUK0693_SU_T1.R3	0.79	2.6
CRUK0693	CRUK0693_SU_T1.R4	0.72	2.6
CRUK0693	CRUK0693_SU_FLN1	0.13	2.4
CRUK0609	CRUK0609_SU_T1.R3	0.46	3.55
CRUK0609	CRUK0609_SU_T1.R1	0.55	3.4
CRUK0609	CRUK0609_SU_FLN1	0.63	3.55
CRUK0609	CRUK0609_SU_T1.R2	0.71	3.45
CRUK0640	CRUK0640_SU_T1.R6	0.28	1.8
CRUK0640	CRUK0640_SU_T1.R1	0.88	1.75
CRUK0640	CRUK0640_SU_T1.R5	0.63	1.8
CRUK0640	CRUK0640_SU_FLN2	0.43	3.05
CRUK0640	CRUK0640_SU_T1.R8	0.47	1.85
CRUK0640	CRUK0640_SU_T1.R3	0.82	1.75
CRUK0640	CRUK0640_SU_T1.R2	0.28	1.9
CRUK0617	CRUK0617_SU_FLN1	0.56	2.9
CRUK0617	CRUK0617_SU_T1.R1	0.73	1.7
CRUK0617	CRUK0617_SU_T1.R2	0.78	1.95
CRUK0617	CRUK0617_SU_T1.R3	0.76	1.7
CRUK0636	CRUK0636_SU_T1.R3	0.18	2
CRUK0636	CRUK0636_BR_T1.R1	0.25	1.75
CRUK0636	CRUK0636_SU_T1.R1	0.4	1.8
CRUK0636	CRUK0636_SU_T1.R2	0.22	1.8
CRUK0698	CRUK0698_SU_T1.R4	0.27	5.15
CRUK0698	CRUK0698_SU_LN1	0.57	5
CRUK0698	CRUK0698_SU_T1.R3	0.5	5.05
CRUK0698	CRUK0698_SU_T1.R1	0.52	5.15
CRUK0698	CRUK0698_SU_T1.R2	0.37	4.8
CRUK0698	CRUK0698_SU_FLN1	0.4	5.05
CRUK0742	CRUK0742_SU_T1.R2	0.23	2.35
CRUK0742	CRUK0742_SU_FLN1	0.25	2.5
CRUK0742	CRUK0742_SU_T1.R1	0.35	2.15
CRUK0721	CRUK0721_SU_FLN1	0.3	1.95
CRUK0721	CRUK0721_SU_T1.R1	0.28	1.95
CRUK0799	CRUK0799_SU_T1.R1	0.67	2.3
CRUK0799	CRUK0799_SU_T1.R2	0.42	4.35
CRUK0799	CRUK0799_SU_T1.R3	0.3	4.55
CRUK0799	CRUK0799_SU_FLN1	0.14	3.9
CRUK0799	CRUK0799_SU_FLN2	0.41	2.25
CRUK0730	CRUK0730_SU_T1.R2	0.41	3.6
CRUK0730	CRUK0730_BR_T1.FR1	0.08	3.5
CRUK0730	CRUK0730_SU_T1.R1	0.27	3.6
CRUK0748	CRUK0748_SU_FLN2	0.35	3.65
CRUK0748	CRUK0748_SU_LN2	0.33	3.4
CRUK0748	CRUK0748_SU_T1.R1	0.67	2.8
CRUK0748	CRUK0748_SU_FLN4	0.15	3.4
CRUK0748	CRUK0748_SU_T1.R5	0.81	2.9
CRUK0748	CRUK0748_SU_T1.R3	0.76	3.4
CRUK0748	CRUK0748_SU_T1.R8	0.66	2.9
CRUK0748	CRUK0748_SU_T1.R7	0.16	2.9
CRUK0748	CRUK0748_SU_T1.R4	0.53	1.8
CRUK0748	CRUK0748_SU_T1.R6	0.66	3.2
CRUK0748	CRUK0748_SU_T1.R2	0.79	3
CRUK0707	CRUK0707_SU_T1.R3	0.31	2.95
CRUK0707	CRUK0707_SU_FLN1	0.29	3.55
CRUK0707	CRUK0707_SU_T1.R2	0.36	3.25
CRUK0762	CRUK0762_SU_LN1	0.14	3.6
CRUK0762	CRUK0762_SU_FLN1	0.23	3.2
CRUK0762	CRUK0762_SU_T1.R1	0.55	3.1
CRUK0762	CRUK0762_SU_T1.R2	0.49	3.45
CRUK0762	CRUK0762_SU_FLN2	0.13	3.55
CRUK0762	CRUK0762_SU_LN2	0.16	3.1
CRUK0762	CRUK0762_SU_FLN3	0.16	3.4
CRUK0736	CRUK0736_SU_LN1	0.28	1.9
CRUK0736	CRUK0736_SU_FLN1	0.39	3.75
CRUK0736	CRUK0736_SU_T1.R3	0.41	1.95
CRUK0736	CRUK0736_SU_T1.R1	0.45	1.95
CRUK0736	CRUK0736_SU_T1.R2	0.34	1.9
CRUK0737	CRUK0737_SU_T1.R3	0.1	2.9
CRUK0737	CRUK0737_SU_FLN1	0.13	2.3
CRUK0737	CRUK0737_SU_T1.R1	0.44	3.15
CRUK0702	CRUK0702_SU_FLN2	0.28	1.6
CRUK0702	CRUK0702_SU_LN1	0.54	1.9
CRUK0702	CRUK0702_SU_T1.R1	0.47	1.7
CRUK0702	CRUK0702_SU_T1.R2	0.78	1.85
CRUK0702	CRUK0702_SU_T1.R3	0.39	1.6
CRUK0702	CRUK0702_SU_T1.R4	0.81	2
CRUK0766	CRUK0766_SU_T1.R2	0.38	2.75
CRUK0766	CRUK0766_SU_T1.R1	0.27	3
CRUK0766	CRUK0766_SU_FLN1	0.19	2.8
CRUK0769	CRUK0769_SU_T1.R1	0.91	2.9
CRUK0769	CRUK0769_BR_LN1	0.45	2.95
CRUK0769	CRUK0769_SU_T1.R4	0.9	2.9
CRUK0769	CRUK0769_SU_T1.R2	0.92	2.85
CRUK0769	CRUK0769_SU_T1.R6	0.73	2.85
CRUK0769	CRUK0769_SU_T1.R3	0.91	2.85
CRUK0769	CRUK0769_SU_T1.R5	0.86	2.85
CRUK0794	CRUK0794_SU_T1.R1	0.5	3.7
CRUK0794	CRUK0794_SU_T1.R2	0.58	2.9
CRUK0794	CRUK0794_SU_T1.R3	0.56	3.5
CRUK0794	CRUK0794_SU_T1.R4	0.63	2.55
CRUK0794	CRUK0794_SU_T1.R5	0.63	3.1
CRUK0794	CRUK0794_SU_FLN1	0.29	3.4
CRUK0714	CRUK0714_SU_T1.R7	0.74	3.2
CRUK0714	CRUK0714_SU_T1.R2	0.48	3.25
CRUK0714	CRUK0714_SU_T1.R3	0.78	3.25
CRUK0714	CRUK0714_SU_T1.R6	0.76	3.25
CRUK0714	CRUK0714_SU_FLN1	0.42	1.55
CRUK0714	CRUK0714_SU_T1.R8	0.66	3.3
CRUK0714	CRUK0714_SU_T1.R1	0.7	3
CRUK0714	CRUK0714_BR_LN1	0.42	1.65
CRUK0714	CRUK0714_SU_T1.R4	0.67	2.95
CRUK0714	CRUK0714_SU_T1.R5	0.38	3.2
CRUK0733	CRUK0733_SU_T1.R3	0.35	3.05
CRUK0733	CRUK0733_SU_T1.R5	0.31	3.15
CRUK0733	CRUK0733_SU_T1.R1	0.14	3.55
CRUK0733	CRUK0733_SU_T1.R2	0.27	3.25
CRUK0733	CRUK0733_SU_T1.R4	0.34	3.15
CRUK0733	CRUK0733_SU_T1.R6	0.45	3.4
CRUK0733	CRUK0733_SU_FLN1	0.13	3.45
CRUK0722	CRUK0722_SU_FLN1	0.32	2.65
CRUK0722	CRUK0722_SU_LN1	0.62	2.6
CRUK0722	CRUK0722_SU_T1.R1	0.45	2.6
CRUK0722	CRUK0722_SU_T1.R2	0.32	2.55
CRUK0722	CRUK0722_SU_FLN2	0.32	2.5
CRUK0722	CRUK0722_SU_T1.R3	0.19	2.45
CRUK0719	CRUK0719_SU_T1.R2	0.11	4.4
CRUK0719	CRUK0719_SU_T1.R1	0.13	5.15
CRUK0719	CRUK0719_BR_T1.R2	0.53	4.05
CRUK0719	CRUK0719_SU_T1.R3	0.13	4.85
CRUK0719	CRUK0719_SU_T1.R4	0.12	4.2
CRUK0719	CRUK0719_BR_T1.R1	0.24	4.05
CRUK0718	CRUK0718_SU_T1.R1	0.89	1.85
CRUK0718	CRUK0718_SU_T1.R8	0.81	3.15
CRUK0718	CRUK0718_SU_FLN1	0.59	1.7
CRUK0718	CRUK0718_SU_T1.R4	0.92	3.35
CRUK0718	CRUK0718_SU_T1.R2	0.92	1.7
CRUK0718	CRUK0718_SU_T1.R6	0.87	2.5
CRUK0718	CRUK0718_SU_T1.R7	0.91	3.05
CRUK0718	CRUK0718_SU_T1.R3	0.79	1.8
CRUK0718	CRUK0718_SU_T1.R5	0.87	2.8
CRUK0745	CRUK0745_SU_T1.R3	0.79	2.55
CRUK0745	CRUK0745_SU_T1.R2	0.52	2.9
CRUK0745	CRUK0745_SU_T1.R1	0.82	2.55
CRUK0745	CRUK0745_SU_FLN1	0.43	3
CRUK0745	CRUK0745_SU_FLN4	0.48	2.7
CRUK0745	CRUK0745_SU_LN2	0.3	2.85
CRUK0745	CRUK0745_SU_T1.R5	0.45	2.75
CRUK0745	CRUK0745_SU_LN1	0.6	2.6
CRUK0745	CRUK0745_SU_T1.R4	0.45	2.5
CRUK0872	CRUK0872_SU_T1.R2	0.25	3.6
CRUK0872	CRUK0872_SU_T1.R3	0.32	3.7
CRUK0872	CRUK0872_SU_T1.R1	0.26	3.8
CRUK0872	CRUK0872_SU_FLN1	0.46	3.45
CRUK0872	CRUK0872_SU_T1.R4	0.13	3.75
CRUK0817	CRUK0817_SU_T1.R5	0.34	3.25
CRUK0817	CRUK0817_SU_T1.R4	0.54	4.5
CRUK0817	CRUK0817_SU_T1.R2	0.68	4.4
CRUK0817	CRUK0817_SU_T1.R3	0.69	4.75
CRUK0817	CRUK0817_BR_T1.R1	0.83	4.7
CRUK0817	CRUK0817_SU_T1.R1	0.79	4.35
CRUK0810	CRUK0810_SU_LN1	0.31	3.75
CRUK0810	CRUK0810_SU_LN2	0.58	3.7
CRUK0810	CRUK0810_SU_FLN1	0.43	3.65
CRUK0810	CRUK0810_BR_LN1	0.26	3.85
CRUK0810	CRUK0810_SU_T1.R2	0.4	3.8
CRUK0810	CRUK0810_SU_T1.R7	0.44	3.6
CRUK0810	CRUK0810_SU_LN3	0.13	4.1
CRUK0810	CRUK0810_SU_T1.R3	0.36	3.85
CRUK0810	CRUK0810_SU_T1.R4	0.49	3.85
CRUK0810	CRUK0810_SU_T1.R1	0.25	3.7
CRUK0810	CRUK0810_SU_T1.R8	0.2	3.95
CRUK0810	CRUK0810_SU_T1.R6	0.39	3.65
CRUK0810	CRUK0810_SU_T1.R5	0.51	3.75
